任务ID,开始时间(BJT),持续时间(min),优先级,功率(W)
13,2021-10-02 00:00:00,360,100,800
1,2021-10-02 00:00:00,20,60,200
28,2021-10-02 00:31:00,63,60,100
55,2021-10-02 01:02:00,25,40,100
6,2021-10-02 01:27:00,63,30,100
39,2021-10-02 01:36:00,63,60,100
63,2021-10-02 02:39:00,83,60,200
12,2021-10-02 04:02:00,20,50,200
17,2021-10-02 04:22:00,63,40,200
34,2021-10-02 05:25:00,20,30,200
19,2021-10-02 06:00:00,300,90,400
22,2021-10-02 06:00:00,25,80,400
53,2021-10-02 06:25:00,25,80,500
11,2021-10-02 06:50:00,25,70,400
2,2021-10-02 07:15:00,40,70,300
54,2021-10-02 07:15:00,20,60,300
43,2021-10-02 07:35:00,20,50,300
36,2021-10-02 07:55:00,51,70,400
62,2021-10-02 08:46:00,82,70,500
69,2021-10-02 10:08:00,51,60,300
35,2021-10-02 10:08:00,80,60,300
9,2021-10-02 11:00:00,85,60,600
23,2021-10-02 11:28:00,20,50,400
38,2021-10-02 11:48:00,22,50,300
68,2021-10-02 12:10:00,40,50,300
29,2021-10-02 12:25:00,120,60,600
26,2021-10-02 12:50:00,42,50,400
50,2021-10-02 13:32:00,63,50,400
32,2021-10-02 14:25:00,20,50,500
71,2021-10-02 14:59:00,22,50,600
51,2021-10-02 14:59:00,82,50,400
58,2021-10-02 15:21:00,51,50,600
44,2021-10-02 16:34:00,80,50,500
10,2021-10-02 16:34:00,20,40,500
65,2021-10-02 16:54:00,20,40,500
33,2021-10-02 17:14:00,25,40,400
16,2021-10-02 17:39:00,22,30,400
48,2021-10-02 18:10:00,42,40,600
59,2021-10-02 18:10:00,60,40,400
60,2021-10-02 18:52:00,22,20,400
64,2021-10-02 19:51:00,75,40,600
52,2021-10-02 19:51:00,83,40,400
40,2021-10-02 21:26:00,82,40,500
21,2021-10-02 21:26:00,40,20,500
45,2021-10-02 22:06:00,40,10,500
4,2021-10-02 23:00:00,42,40,400
31,2021-10-02 23:00:00,85,40,600
5,2021-10-02 23:59:00,22,50,300
14,2021-10-03 01:15:00,51,50,300
8,2021-10-03 01:15:00,83,40,400
3,2021-10-03 01:15:00,51,20,300
7,2021-10-03 02:28:00,82,80,500
25,2021-10-03 02:38:00,51,20,300
47,2021-10-03 03:29:00,51,20,300
18,2021-10-03 04:54:00,82,80,500
57,2021-10-03 04:54:00,40,50,300
15,2021-10-03 05:34:00,42,40,400
67,2021-10-03 06:16:00,300,70,600
66,2021-10-03 06:16:00,25,30,400
61,2021-10-03 07:34:00,33,60,400
24,2021-10-03 08:07:00,80,10,400
41,2021-10-03 09:27:00,83,10,400
70,2021-10-03 11:03:00,42,40,400
30,2021-10-03 11:16:00,83,20,500
20,2021-10-03 11:45:00,85,10,400
56,2021-10-03 13:59:00,20,50,200
27,2021-10-03 13:59:00,22,20,300
49,2021-10-04 01:09:00,240,60,800
42,2021-10-04 05:09:00,240,50,600
46,2021-10-04 10:23:00,40,10,300
37,2021-10-05 02:00:00,42,40,400